line,count,ids
ちいさな　いろだけ,12,114130 124130 212130 222130 312130 322130 113133 123133 211133 221133 311133 321133
ちいさな　ために,12,113130 123130 211130 221130 311130 321130 11613C 12613C 21613C 22613C 31413C 32413C
ちずには　ないけど,12,114130 124130 212130 222130 312130 322130 115117 125117 215117 225117 313117 323117
つよさを　ぬう,12,114110 124110 212110 222110 312110 322110 114125 124125 212125 222125 312125 322125
てのひらで　あたためる,12,113110 123110 211110 221110 311110 321110 11611A 12611A 21611A 22611A 31411A 32411A
とどく　きがした,12,116120 126120 216120 226120 314120 324120 11613C 12613C 21613C 22613C 31413C 32413C
なくした　こえまで,12,115120 125120 215120 225120 313120 323120 115139 125139 215139 225139 313139 323139
なまえを　しらずに,12,116120 126120 216120 226120 314120 324120 11613C 12613C 21613C 22613C 31413C 32413C
ならない　かねにも,12,116110 126110 216110 226110 314110 324110 11612B 12612B 21612B 22612B 31412B 32412B
ぬいめの　したには,12,116110 126110 216110 226110 314110 324110 115117 125117 215117 225117 313117 323117
ねむった　こえが,12,116130 126130 216130 226130 314130 324130 115139 125139 215139 225139 313139 323139
ねむった　ほんから,12,113120 123120 211120 221120 311120 321120 113133 123133 211133 221133 311133 321133
はずした　かめんを,12,116130 126130 216130 226130 314130 324130 113111 123111 211111 221111 311111 321111
はなを　ならべた,12,113130 123130 211130 221130 311130 321130 11613C 12613C 21613C 22613C 31413C 32413C
ひかりを　うける,12,113133 115139 123133 125139 211133 215139 221133 225139 311133 313139 321133 323139
ひだりへ　まがる,12,115110 125110 215110 225110 313110 323110 114114 124114 212114 222114 312114 322114
ひとばん　かくした,12,114120 124120 212120 222120 312120 322120 113122 123122 211122 221122 311122 321122
ひとり　うなずく,12,116110 126110 216110 226110 314110 324110 11612B 12612B 21612B 22612B 31412B 32412B
ひばちの　そばで,12,115120 125120 215120 225120 313120 323120 114125 124125 212125 222125 312125 322125
ふいに　めをさます,12,116130 126130 216130 226130 314130 324130 115139 125139 215139 225139 313139 323139
ふるい　こえが,12,113120 123120 211120 221120 311120 321120 113133 123133 211133 221133 311133 321133
ほんとの　かおへ,12,116130 126130 216130 226130 314130 324130 113111 123111 211111 221111 311111 321111
まえへ　うながす,12,114130 124130 212130 222130 312130 322130 115117 125117 215117 225117 313117 323117
まけた　ひの　かぜ,12,116110 126110 216110 226110 314110 324110 115117 125117 215117 225117 313117 323117
まだ　おわりじゃない,12,113110 123110 211110 221110 311110 321110 113122 123122 211122 221122 311122 321122
まだ　かぜを　うける,12,114110 124110 212110 222110 312110 322110 114125 124125 212125 222125 312125 322125
まだ　さがせる,12,114120 124120 212120 222120 312120 322120 114136 124136 212136 222136 312136 322136
まだ　しまわない,12,113130 115130 123130 125130 211130 215130 221130 225130 311130 313130 321130 323130
まだ　のこってる,12,116110 126110 216110 226110 314110 324110 115117 125117 215117 225117 313117 323117
まどを　みていた,12,114110 124110 212110 222110 312110 322110 113111 123111 211111 221111 311111 321111
まもれる　ものがある,12,116110 126110 216110 226110 314110 324110 11612B 12612B 21612B 22612B 31412B 32412B
まよわない　ふりで,12,115110 125110 215110 225110 313110 323110 114114 124114 212114 222114 312114 322114
みえない　きもちを,12,113130 123130 211130 221130 311130 321130 114114 124114 212114 222114 312114 322114
みじかい　うたなら,12,116120 126120 216120 226120 314120 324120 11613C 12613C 21613C 22613C 31413C 32413C
むねに　しまって,12,115130 125130 215130 225130 313130 323130 114136 124136 212136 222136 312136 322136
むねに　のこす,12,114130 116130 124130 126130 212130 216130 222130 226130 312130 314130 322130 324130
やさしく　ひろう,12,115120 125120 215120 225120 313120 323120 115139 125139 215139 225139 313139 323139
ゆびが　おぼえる,12,115120 125120 215120 225120 313120 323120 114125 124125 212125 222125 312125 322125
ゆびで　たしかめる,12,113120 115120 123120 125120 211120 215120 221120 225120 311120 313120 321120 323120
ゆめを　さます,12,114136 11613C 124136 12613C 212136 21613C 222136 22613C 312136 31413C 322136 32413C
よごれた　はなでも,12,115120 125120 215120 225120 313120 323120 115139 125139 215139 225139 313139 323139
わたしの　あしを,12,114130 124130 212130 222130 312130 322130 115117 125117 215117 225117 313117 323117
わたしの　うたへ,12,113120 123120 211120 221120 311120 321120 113133 123133 211133 221133 311133 321133
わたしの　かおだけ,12,113120 123120 211120 221120 311120 321120 11612B 12612B 21612B 22612B 31412B 32412B
わたしの　しごと,12,113110 123110 211110 221110 311110 321110 11611A 12611A 21611A 22611A 31411A 32411A
インクつぼの　そこを,12,116120 126120 216120 226120 314120 324120 115128 125128 215128 225128 313128 323128
ページの　あいだで,12,116130 126130 216130 226130 314130 324130 115139 125139 215139 225139 313139 323139
